ConsoID,ConsolidatedAmountID,CurrCode,Amount,TransactionCurrCode,TransactionAmount
2,229827049,EUR,-9205583.36,NULL,NULL
2,229827050,EUR,1850625.97,NULL,NULL
2,229827051,EUR,66216700.85,NULL,NULL
2,229827052,EUR,-3010251.34,NULL,NULL
2,229827053,EUR,4484992.66,NULL,NULL
2,229827054,EUR,2008678.94,NULL,NULL
2,229827055,EUR,1155764.68,NULL,NULL
2,229827056,EUR,2111373.59,NULL,NULL
2,229827057,EUR,403011.48,NULL,NULL
2,229827058,EUR,371664.39,NULL,NULL
2,229827059,EUR,2467217.56,NULL,NULL
2,229827060,EUR,-239899.13,NULL,NULL
2,229827061,EUR,-52164.33,NULL,NULL
2,229827109,EUR,-270000,NULL,NULL
2,229827110,EUR,535895.89,NULL,NULL
2,229827111,EUR,1250.08,NULL,NULL
2,229827112,EUR,-45503.27,NULL,NULL
2,229827113,EUR,-1407.46,NULL,NULL
2,229827114,EUR,4158065.33,NULL,NULL
2,229827115,EUR,407543.89,NULL,NULL
2,229827116,EUR,-344139.73,NULL,NULL
2,229827117,EUR,1011139.94,NULL,NULL
2,229827118,EUR,3354693.66,NULL,NULL
2,229827119,EUR,156973.35,NULL,NULL
2,229827120,EUR,-41868.84,NULL,NULL
2,229827121,EUR,-120974.09,NULL,NULL
2,229827122,EUR,175457.44,NULL,NULL
2,229827123,EUR,203775.76,NULL,NULL
2,229827124,EUR,157818.3,NULL,NULL
2,229827125,EUR,20525.62,NULL,NULL
2,229827126,EUR,44228.06,NULL,NULL
2,229827127,EUR,-8179324.22,NULL,NULL
2,229827128,EUR,-37151.25,NULL,NULL
2,229827129,EUR,53456.79,NULL,NULL
2,229827130,EUR,7256,NULL,NULL
2,229827131,EUR,429980.12,NULL,NULL
2,229827132,EUR,-808759.37,NULL,NULL
2,229827133,EUR,-540614.77,NULL,NULL
2,229827134,EUR,33646.05,NULL,NULL
2,229827135,EUR,583691.1,NULL,NULL
2,229827136,EUR,19447.13,NULL,NULL
2,229827137,EUR,11108.93,NULL,NULL
